Feature,Coefficient,OddsRatio
V3,-1.1648296012791748,0.3119758177839609
V13,-1.0497270595595334,0.3500332743102856
V18,-1.023636375785498,0.359286062691748
V4,0.8759236842522481,2.4010921209657217
V1,-0.8195384922304441,0.44063496404737007
V2,0.7993549653023584,2.2241058402631775
V11,-0.7870174646104819,0.45520042404609734
is_night,0.7430517350532756,2.102341524123778
V17,-0.6962200977774635,0.4984658996800701
V12,0.5561128594800472,1.743880599371733
V10,-0.48602692094310557,0.615065248954073
V19,-0.43887044928250724,0.6447643038975537
V14,0.2789346313962665,1.3217209419930815
Amount,-0.2502343275395361,0.7786183099801891
hour_of_day,0.23684645881253524,1.2672465283001506
V16,-0.22704106683558203,0.7968880559473897
V27,-0.19969859770982248,0.8189775575938532
V23,-0.18661164332677047,0.8297659189523232
V9,0.16101494632493335,1.1747025261683184
V26,-0.1524995079950858,0.8585593163716936
V15,0.1474849959577557,1.1589158962762367
V22,-0.12378650691088912,0.883568456507189
V8,-0.08948407346590152,0.9144028282761583
V24,0.08451878723939237,1.0881932881877712
V6,-0.0801850249042593,0.9229455626731328
V20,-0.06513906344101571,0.9369371606118678
V7,0.04825757057297157,1.0494409256166501
V28,-0.044407802477710326,0.9565637888394094
V25,-0.028359856210781024,0.9720385097610521
V21,-0.018615677753285167,0.981556523770874
V5,0.016373089761704308,1.0165078633444988
